Dashboard de Controle de Estoque,,,,,,,,,
,,,,,,,,,
,Resumo Geral das Exportações,,,,,,,,
,Total Exportado (USD),"USD 3.579.877,41",,,,,,,
,Total de DU-Es Processadas,30,,,,,,,
,Valor Médio por Exportação (USD),"USD 119.329,25",,,,,,,
,,,,,,,,,
,Relação Saídas vs. Consumo DU-E por Item,,,,,,,,
,,,,,,,,,
,Nº do Item,Total Saídas (Quantidade),Valor Total (USD),Total Vinculado a DU-Es (Quantidade),Saldo Disponível,Valor Médio Unitário (USD),Média Utilização/DU-E,Estoque disponível em %,Coluna 1
,1,"28.338,48","USD 123.651,36","28.485,45","-146,97","USD 4,36","949,52","-0,52%",0
,2,"20.446,44","USD 80.914,35","15.505,46","4.940,98","USD 3,96","674,15","24,17%",
,3,"103.000,00","USD 140.000,00","74.729,82","28.270,18","USD 1,36","3.933,15","27,45%",
,4,"119.446,00","USD 148.408,00","120.065,49","-619,49","USD 1,24","4.002,18","-0,52%",
,5,"438.396,41","USD 405.000,00","440.670,08","-2.273,67","USD 0,92","14.689,00","-0,52%",
,6,"235.486,00","USD 195.000,00","231.486,15","3.999,85","USD 0,83","7.982,28","1,70%",
,7,"119.933,67","USD 100.100,00","105.744,27","14.189,40","USD 0,83","4.067,09","11,83%",
,8,"29.574,00","USD 31.591,84","29.727,38","-153,38","USD 1,07","990,91","-0,52%",
,9,"28.843,39","USD 24.000,00","28.514,96","328,43","USD 0,83","983,27","1,14%",
,10,"25.000,00","USD 27.000,00","17.452,96","7.547,04","USD 1,08","831,09","30,19%",
,11,"30.000,00","USD 25.411,17","19.866,68","10.133,32","USD 0,85","1.045,61","33,78%",
,12,"72.990,72","USD 165.206,80","53.740,60","19.250,12","USD 2,26","2.559,08","26,37%",
,15,"1.925,25","USD 7.890,00","790,19","1.135,06","USD 4,10","71,84","58,96%",
,16,"274,75","USD 1.263,50","112,77","161,98","USD 4,60","10,25","58,96%",
,17,"600,00","USD 3.099,00","246,26","353,74","USD 5,17","22,39","58,96%",
,18,"500,00","USD 1.972,50","205,22","294,78","USD 3,95","18,66","58,96%",
,20,"9.885,00","USD 11.284,90","7.568,53","2.316,47","USD 1,14","302,74","23,43%",
,21,"10.675,00","USD 12.169,50","8.173,40","2.501,60","USD 1,14","326,94","23,43%",
,22,"4.900,00","USD 5.570,00","3.751,72","1.148,28","USD 1,14","150,07","23,43%",
,25,"6.900,00","USD 21.735,00","3.987,18","2.912,82","USD 3,15","249,20","42,21%",
,26,"486.000,00","USD 700.118,00","402.480,08","83.519,92","USD 1,44","25.155,01","17,19%",
,27,"54.000,00","USD 78.362,00","12.914,76","41.085,24","USD 1,45","1.844,97","76,08%",
,28,"54.000,00","USD 76.742,00","12.914,76","41.085,24","USD 1,42","1.844,97","76,08%",
,29,"8.840,80","USD 173.178,79","8.886,65","-45,85","USD 19,59","296,22","-0,52%",
,30,"228,00","USD 7.223,56","153,19","74,81","USD 31,68","7,66","32,81%",
,31,"869,20","USD 7.442,62","422,43","446,77","USD 8,56","30,17","51,40%",
,32,"1.511,90","USD 9.648,35","1.081,40","430,50","USD 6,38","47,02","28,47%",
,33,"2.400,00","USD 12.354,60","1.716,62","683,38","USD 5,15","74,64","28,47%",
,36,"58,20","USD 1.578,86","28,29","29,91","USD 27,13","2,02","51,40%",
,37,"48,00","USD 1.221,70","32,25","15,75","USD 25,45","1,61","32,81%",
,43,"84.140,00","USD 75.726,00","56.533,53","27.606,47","USD 0,90","2.826,68","32,81%",
,44,"18.240,00","USD 24.736,00","13.832,21","4.407,79","USD 1,36","601,40","24,17%",
,45,"12.400,00","USD 19.600,00","9.403,48","2.996,52","USD 1,58","408,85","24,17%",
,46,"30.900,00","USD 46.800,00","23.432,86","7.467,14","USD 1,51","1.018,82","24,17%",
,47,"61.043,53","USD 94.500,00","31.648,91","29.394,62","USD 1,55","2.434,53","48,15%",
,48,"7.220,00","USD 11.196,00","5.475,25","1.744,75","USD 1,55","238,05","24,17%",
,49,"8.250,00","USD 16.800,00","8.292,79","-42,79","USD 2,04","276,43","-0,52%",
,50,"17.750,00","USD 36.000,00","17.842,06","-92,06","USD 2,03","594,74","-0,52%",
,51,"3.304,01","USD 13.000,00","3.097,95","206,06","USD 3,93","110,64","6,24%",
,52,"3.355,06","USD 14.000,00","3.145,82","209,24","USD 4,17","112,35","6,24%",
,53,"22.147,00","USD 22.500,00","12.398,91","9.748,09","USD 1,02","826,59","44,02%",
,54,"9.892,00","USD 11.276,88","7.075,34","2.816,66","USD 1,14","307,62","28,47%",
,55,"9.948,00","USD 11.340,72","7.115,39","2.832,61","USD 1,14","309,36","28,47%",
,56,"5.008,00","USD 5.709,12","3.582,02","1.425,98","USD 1,14","155,74","28,47%",
,57,"26.826,00","USD 31.747,50","18.379,95","8.446,05","USD 1,18","875,24","31,48%",
,58,"187.142,85","USD 131.000,00","13.068,66","174.074,19","USD 0,70","6.534,33","93,02%",
,59,"126.283,74","USD 101.420,50","33.840,29","92.443,45","USD 0,80","4.834,33","73,20%",
,60,"88.125,16","USD 74.997,30","23.614,92","64.510,24","USD 0,85","3.373,56","73,20%",
,61,"36.562,61","USD 27.826,65","3.542,82","33.019,79","USD 0,76","885,71","90,31%",
,62,"23.756,00","USD 18.567,72","6.759,61","16.996,39","USD 0,78","844,95","71,55%",
,63,"9.768,00","USD 13.375,71","815,77","8.952,23","USD 1,37","271,92","91,65%",
,64,"9.870,00","USD 13.515,39","824,29","9.045,71","USD 1,37","274,76","91,65%",
,65,"4.930,00","USD 6.750,85","411,73","4.518,27","USD 1,37","137,24","91,65%",
,,,,,,,,,
,,,,,,,,,
,Status das DU-Es,,,,,,,,
,Nº da DU-E,Data de Embarque,Valor da DU-E (USD),Status,,,,,
,24BR0022187750,20/12/2024,"USD 52.822,00",Processada,,,,,
,24BR0022518868,21/12/2024,"USD 142.088,00",Processada,,,,,
,24BR0022828069,28/12/2024,"USD 198.800,00",Processada,,,,,
,25BR0000509548,20/01/2025,"USD 159.910,00",Processada,,,,,
,25BR0001093990,31/01/2025,"USD 299.438,97",Processada,,,,,
,25BR0002387679,14/02/2025,"USD 141.650,00",Processada,,,,,
,25BR0002803818,19/02/2025,"USD 37.841,60",Processada,,,,,
,25BR0003384657,04/03/2025,"USD 69.526,00",Processada,,,,,
,25BR0003830622,07/03/2025,"USD 37.687,00",Processada,,,,,
,25BR0004254811,12/03/2025,"USD 47.210,50",Processada,,,,,
,25BR0005054069,24/03/2025,"USD 158.096,00",Processada,,,,,
,25BR0005241128,25/03/2025,"USD 60.040,00",Processada,,,,,
,25BR0005316691,28/03/2025,"USD 67.800,00",Processada,,,,,
,25BR0003844607,01/04/2025,"USD 49.000,00",Processada,,,,,
,25BR0006234699,08/04/2025,"USD 64.128,00",Processada,,,,,
,25BR0006539635,15/04/2025,"USD 262.982,80",Processada,,,,,
,25BR0007120883,25/04/2025,"USD 132.591,00",Processada,,,,,
,25BR0008432099,19/05/2025,"USD 70.439,00",Processada,,,,,
,25BR0009089991,23/05/2025,"USD 66.102,00",Processada,,,,,
,25BR0008320843,27/05/2025,"USD 249.717,00",Processada,,,,,
,25BR0009346676,31/05/2025,"USD 119.670,40",Processada,,,,,
,25BR0010436241,12/06/2025,"USD 78.963,00",Processada,,,,,
,25BR0010924750,20/06/2025,"USD 161.620,00",Processada,,,,,
,25BR0012555787,16/07/2025,"USD 163.230,00",Processada,,,,,
,25BR0012882125,21/07/2025,"USD 284.410,14",Processada,,,,,
,25BR0013186513,24/07/2025,"USD 59.023,00",Processada,,,,,
,25BR0014159390,06/08/2025,"USD 47.660,00",Processada,,,,,
,25BR0014669682,18/08/2025,"USD 48.729,00",Processada,,,,,
,25BR0015519439,28/08/2025,"USD 124.974,00",Processada,,,,,
,25BR0016307621,09/09/2025,"USD 123.728,00",Processada,,,,,